Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201300030780,13,9,1,1045,1,2,9,1.0,3,152,WERWICQ (RUE DE),,,,590
201300024804,13,8,2,1245,1,1,1,1.0,3,129,"0, D132",M,4357100.0,388278.0,340
201300019146,13,10,10,2200,3,1,1,2.0,1,240,,M,0.0,0.0,890
201300036474,13,2,7,1725,2,2,1,1.0,3,137,VALETTE ( ANCIEN chemin),M,4313553.0,597410.0,830
201300042248,13,6,24,1730,1,2,1,1.0,6,64,"00, ALSACE-LORRAINE (BOU",,,,930
201300038133,13,11,22,355,5,2,1,1.0,6,286,HENRI BARBUSSE (PLACE),,,,910
201300039418,13,2,19,1750,1,2,6,1.0,6,36,"0, PIERRE DE COUBERTIN (",,,,920
201300011602,13,2,14,815,1,1,2,9.0,1,317,,M,0.0,0.0,620
201300057675,13,9,4,1205,1,2,1,1.0,6,9,"Comm, FELIX EBOUE (RUE)",A,0.0,0.0,972
201300030730,13,5,15,1810,1,2,2,1.0,4,599,"172, GAMBETTA (BOULEVARD",,,,590
201300040650,13,7,31,1945,1,2,1,1.0,6,78,"44, LONGUE BERTRANE (RUE",,,,920
201300007065,13,4,26,1415,1,1,1,2.0,3,67,,M,0.0,0.0,890
201300015159,13,7,17,1820,1,2,1,1.0,3,55,"222, BD RABATAU DANIEL M",M,4328310.0,539972.0,130
201300015615,13,9,25,1515,1,2,1,1.0,2,55,"92, BD FRANCOISE DUPARC",M,4330497.0,540093.0,130
201300050563,13,11,9,2030,5,2,2,1.0,7,103,"67, RUE BEAUBOURG",,,,750
201300042636,13,10,23,2050,5,2,1,1.0,6,72,"33, MARCEL CACHIN (AVENU",,,,930
