Num_Acc,an,mois,jour,lum,agg,int,atm,col,senc,catv,occutc,obs,obsm,manv,catu,secu,catr,circ,nbv,prof,lartpc,larrout,surf,infra,situ,nb_veh,grav_simpl,Homme,Femme,Arrière,Autre_x,Avant,Conducteur,Autre_y,Inconnu,Loisirs,Professionnel,Travail,Adulte,Enfant,Jeune,Senior,choc_avant,choc_arriere,choc_lateral,choc_multiple,grav_order_max,heure,minute
200500018712,5,4,6,1,2,1,1.0,1.0,0.0,5.0,0.0,1.0,0.0,13.0,1,2,4.0,2.0,4.0,1.0,0.0,120.0,1,0.0,1.0,2,4,4,0,0,0,0,4,0,0,0,0,4,2,0,2,0,1,0,0,0,4,17,20
200500038052,5,6,16,1,1,1,2.0,3.0,0.0,7.0,0.0,0.0,2.0,1.0,1,1,3.0,2.0,2.0,0.0,0.0,70.0,1,0.0,1.0,2,1,4,0,0,0,0,4,4,0,0,0,0,2,0,2,0,1,0,1,0,2,13,0
200500016119,5,3,23,1,2,1,1.0,6.0,0.0,10.0,0.0,0.0,1.0,1.0,1,1,4.0,2.0,2.0,1.0,0.0,70.0,1,0.0,1.0,1,1,1,1,0,1,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,2,16,15
201500020964,15,1,22,2,1,1,1.0,1.0,0.0,10.0,0.0,0.0,2.0,15.0,1,1,3.0,2.0,2.0,1.0,0.0,0.0,1,4.0,0.0,2,2,4,0,0,0,0,4,2,0,0,0,2,2,0,2,0,1,1,0,0,3,18,0
200500049586,5,8,5,3,1,1,1.0,6.0,0.0,7.0,0.0,4.0,0.0,15.0,1,-1,3.0,2.0,2.0,2.0,0.0,65.0,1,0.0,1.0,1,2,3,1,2,0,1,1,0,3,1,0,0,0,1,3,0,1,0,0,0,3,23,0
201700002089,17,8,13,1,2,1,1.0,6.0,0.0,7.0,0.0,6.0,0.0,1.0,1,1,9.0,2.0,2.0,2.0,0.0,0.0,1,0.0,1.0,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,7,30
200600062630,6,10,16,1,2,1,1.0,2.0,0.0,7.0,0.0,0.0,2.0,1.0,1,1,4.0,3.0,5.0,1.0,15.0,150.0,1,0.0,1.0,2,1,0,4,0,0,0,4,2,0,2,0,0,4,0,0,0,1,1,0,0,2,16,20
200600024288,6,5,23,1,2,1,1.0,3.0,0.0,7.0,0.0,0.0,2.0,13.0,1,1,3.0,2.0,0.0,2.0,0.0,0.0,1,0.0,1.0,2,1,2,6,2,0,2,4,0,4,4,0,0,2,4,2,0,1,0,1,0,2,20,35
200600035115,6,6,6,1,2,1,1.0,2.0,0.0,7.0,0.0,0.0,2.0,2.0,1,1,4.0,2.0,2.0,1.0,0.0,60.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,0,2,2,0,4,0,0,0,1,1,0,0,2,18,10
200900028964,9,3,16,1,2,9,1.0,6.0,1.0,99.0,0.0,0.0,1.0,5.0,3,-1,9.0,1.0,1.0,1.0,0.0,46.0,1,0.0,1.0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,14,15
200500005206,5,1,9,1,2,1,1.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,1,1,2.0,2.0,2.0,1.0,0.0,70.0,1,0.0,1.0,2,2,2,2,0,0,0,4,0,0,4,0,0,2,0,0,2,1,0,0,0,2,12,20
