,lum,agg,int,col,moment,senc,catv,occutc,obs,obsm,manv,annee,nb_veh,choc_avant,choc_arriere,choc_lateral,choc_multiple,grav_order,secu,pieton,Conducteur,Autre,Arrière,Avant,pres_Homme,pres_Femme,age_grp_Enfant,age_grp_Adulte,age_grp_Jeune,age_grp_Senior,trajet_grp_Autre,trajet_grp_Inconnu,trajet_grp_Loisirs,trajet_grp_Professionnel,trajet_grp_Travail,catr,circ,nbv,prof,lartpc,larrout,infra,situ,mois,jour,jour_semaine,is_we,atm_enc,surf_enc
282198,1,2,1,1.0,1,0.0,7.0,0.0,0.0,2.0,13.0,2008,2.0,1.0,0.0,0.0,0.0,2,1,0,2,0,0,0,1,1,0,2,0,0,0,0,1,1,0,3.0,2.0,0.0,4.0,0.0,82.0,0.0,1.0,7,7,0,0,2,2
434657,2,2,3,1.0,3,0.0,33.0,0.0,0.0,2.0,0.0,2010,2.0,1.0,0.0,1.0,0.0,2,1,0,2,0,0,0,2,0,0,1,0,1,0,2,0,0,0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,10,2,5,1,2,2
572538,2,2,1,5.0,2,0.0,7.0,0.0,0.0,2.0,6.0,2012,3.0,1.0,0.0,0.0,0.0,1,1,0,3,0,0,0,2,1,0,2,1,0,0,3,0,0,0,4.0,2.0,2.0,0.0,0.0,60.0,0.0,1.0,12,12,2,0,0,0
109195,1,1,1,1.0,2,0.0,17.0,0.0,0.0,2.0,1.0,2006,2.0,1.0,0.0,0.0,0.0,2,1,0,2,0,0,1,2,1,0,1,0,2,0,1,1,1,0,2.0,2.0,2.0,2.0,72.0,0.0,0.0,1.0,5,10,2,0,2,2
480077,1,2,3,3.0,2,0.0,7.0,0.0,0.0,2.0,15.0,2011,2.0,1.0,0.0,1.0,0.0,1,-1,0,2,0,0,0,1,1,0,0,2,0,0,0,2,0,0,4.0,1.0,1.0,1.0,0.0,25.0,0.0,1.0,4,13,2,0,2,2
223408,1,2,1,6.0,3,0.0,14.0,0.0,0.0,1.0,4.0,2007,1.0,0.0,1.0,0.0,0.0,1,-1,1,1,1,0,0,1,1,0,2,0,0,0,1,0,1,0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,9,26,2,0,2,2
465336,3,2,1,6.0,4,0.0,7.0,0.0,6.0,0.0,13.0,2011,1.0,1.0,0.0,0.0,0.0,2,-1,0,1,0,2,1,2,2,3,0,1,0,0,3,1,0,0,4.0,2.0,2.0,1.0,0.0,58.0,0.0,3.0,10,15,5,1,2,2
870543,5,2,2,3.0,4,1.0,7.0,0.0,0.0,2.0,15.0,2017,2.0,1.0,0.0,0.0,0.0,1,-1,0,2,0,0,0,2,0,0,1,1,0,0,1,0,1,0,4.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,12,3,6,1,2,2
604463,1,2,1,3.0,1,0.0,7.0,0.0,0.0,2.0,19.0,2013,2.0,1.0,0.0,1.0,0.0,1,1,0,2,0,0,0,1,1,0,1,0,1,1,0,1,0,0,3.0,2.0,0.0,1.0,0.0,53.0,0.0,1.0,12,20,4,0,2,2
742026,1,2,1,3.0,1,0.0,7.0,0.0,0.0,2.0,0.0,2015,2.0,1.0,0.0,0.0,0.0,1,1,0,2,0,0,0,1,1,0,2,0,0,0,1,0,1,0,4.0,2.0,2.0,0.0,100.0,100.0,0.0,1.0,2,6,4,0,2,2
581877,5,2,2,6.0,3,0.0,34.0,0.0,0.0,1.0,17.0,2012,1.0,1.0,0.0,0.0,0.0,1,-1,1,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,12,24,0,0,2,2
99883,1,1,1,3.0,2,0.0,17.0,0.0,0.0,2.0,12.0,2006,2.0,1.0,1.0,0.0,0.0,2,1,0,2,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3,15,2,0,2,2
271357,1,2,3,3.0,2,0.0,7.0,0.0,0.0,9.0,1.0,2008,2.0,1.0,0.0,0.0,0.0,2,-1,1,1,1,0,1,2,0,2,0,1,0,0,1,2,0,0,4.0,2.0,2.0,0.0,0.0,62.0,0.0,0.0,5,2,4,0,2,0
912463,1,2,1,6.0,2,2.0,34.0,0.0,1.0,1.0,1.0,2018,1.0,1.0,0.0,0.0,0.0,1,-1,1,1,1,0,0,1,1,0,2,0,0,0,1,0,0,1,4.0,2.0,3.0,1.0,-1.0,-1.0,0.0,3.0,11,19,0,0,2,2
356838,1,1,1,3.0,1,0.0,33.0,0.0,0.0,2.0,1.0,2009,2.0,0.0,0.0,1.0,0.0,2,2,0,2,0,0,1,2,1,0,1,2,0,0,1,2,0,0,3.0,2.0,2.0,0.0,0.0,60.0,0.0,0.0,6,7,6,1,2,2
432419,5,2,1,6.0,3,0.0,10.0,0.0,0.0,1.0,1.0,2010,1.0,1.0,0.0,0.0,0.0,2,-1,1,1,1,0,0,1,1,0,1,0,1,0,0,2,0,0,3.0,2.0,3.0,2.0,0.0,102.0,0.0,1.0,12,19,6,1,2,2
788007,4,2,2,6.0,3,2.0,7.0,0.0,0.0,1.0,15.0,2016,1.0,1.0,0.0,0.0,0.0,2,-1,1,1,1,0,0,1,1,0,0,1,1,0,0,2,0,0,4.0,1.0,1.0,1.0,0.0,53.0,5.0,1.0,1,7,3,0,2,2
120529,1,2,1,1.0,2,0.0,2.0,0.0,0.0,2.0,1.0,2006,2.0,1.0,0.0,0.0,0.0,1,1,0,2,0,0,1,2,1,1,1,0,1,0,1,2,0,0,4.0,2.0,1.0,1.0,0.0,40.0,0.0,1.0,6,3,5,1,2,2
320089,5,2,3,6.0,1,0.0,7.0,0.0,0.0,1.0,1.0,2008,1.0,1.0,0.0,0.0,0.0,2,-1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,4.0,1.0,2.0,1.0,0.0,97.0,0.0,1.0,12,24,2,0,2,2
360525,1,2,1,7.0,2,0.0,30.0,0.0,0.0,0.0,0.0,2009,1.0,0.0,0.0,1.0,0.0,1,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,10,21,2,0,2,2
440651,1,2,3,2.0,3,0.0,7.0,0.0,0.0,2.0,0.0,2010,2.0,1.0,1.0,0.0,0.0,1,-1,0,2,0,0,0,2,0,1,1,0,0,0,0,2,0,0,4.0,1.0,2.0,1.0,10.0,70.0,0.0,0.0,6,12,5,1,2,2
